Make,Year_of_manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
Toyota,2003,Foreign Used,178126,2700,Petrol,Manual,17850000,SUV
Toyota,2005,Nigerian Used,191857,2400,Petrol,Automatic,3120000,SUV
Toyota,2014,Foreign Used,134312,2500,Petrol,Automatic,6090000,SUV
Porsche,2014,Nigerian Used,61129,4800,Petrol,Automatic,6510000,SUV
Toyota,2012,Nigerian Used,66555,2500,Petrol,Automatic,3780000,SUV
Toyota,2007,Nigerian Used,169410,3274,Petrol,Automatic,4042000,SUV
Lexus,2006,Nigerian Used,290186,2500,Petrol,Automatic,3120000,SUV
Ford,2008,Nigerian Used,209016,3000,Petrol,Automatic,2392000,SUV
Toyota,2005,Nigerian Used,359333,1800,Petrol,Automatic,2193750,SUV
Lexus,2004,Nigerian Used,140740,3300,Petrol,Automatic,3150000,SUV
Mercedes-Benz,2007,Nigerian Used,141968,3274,Petrol,Automatic,5610000,SUV
Lexus,2006,Nigerian Used,119248,3300,Petrol,Automatic,3016000,SUV
Lexus,2008,Nigerian Used,175395,3500,Petrol,Automatic,3848000,SUV
Mercedes-Benz,2006,Nigerian Used,72991,3500,Petrol,Automatic,3360000,SUV
Toyota,2008,Nigerian Used,251684,3500,Petrol,Automatic,3885000,SUV
Toyota,2016,Nigerian Used,71610,2500,Petrol,Automatic,5775000,SUV
Mercedes-Benz,2010,Nigerian Used,84418,35,Petrol,Automatic,3150000,SUV
Lexus,2007,Nigerian Used,284317,2500,Petrol,Automatic,3016000,SUV
Toyota,2012,Nigerian Used,183925,2500,Petrol,Automatic,4992000,SUV
Lexus,2010,Foreign Used,165472,3500,Petrol,Automatic,7350000,SUV
Ford,2010,Nigerian Used,156649,4000,Petrol,Automatic,3675000,SUV
Ford,2007,Nigerian Used,43186,3274,Petrol,Automatic,5162000,SUV
Mercedes-Benz,2008,Nigerian Used,231782,3,Petrol,Automatic,3432000,SUV
Infiniti,2015,Foreign Used,135688,35000,Petrol,Automatic,14700000,SUV
Toyota,2004,Foreign Used,323594,3300,Petrol,Automatic,3640000,SUV
Mercedes-Benz,2012,Nigerian Used,101947,3000,Petrol,Automatic,3675000,SUV
Ford,2012,Nigerian Used,108728,3500,Petrol,Automatic,3640000,SUV
Toyota,2007,Nigerian Used,153048,3274,Petrol,Automatic,8746000,SUV
Mini,2016,Foreign Used,86735,1500,Petrol,Automatic,6300000,SUV
Toyota,2005,Foreign Used,284638,3300,Petrol,Automatic,3536000,SUV
Toyota,2012,Nigerian Used,95425,2400,Petrol,Automatic,3675000,SUV
Lexus,2010,Nigerian Used,78708,3500,Petrol,Automatic,5310000,SUV
Infiniti,2008,Nigerian Used,109552,5600,Petrol,Automatic,3675000,SUV
Toyota,2011,Foreign Used,87282,3274,Petrol,Automatic,4200000,SUV
Toyota,2012,Nigerian Used,61910,2000,Petrol,Automatic,3937500,SUV
Land Rover,2007,Nigerian Used,192232,3274,Petrol,Automatic,3370000,SUV
Toyota,2011,Nigerian Used,280121,2500,Petrol,Automatic,3640000,SUV
Mercedes-Benz,2007,Nigerian Used,245380,30,Diesel,Automatic,7350000,SUV
Infiniti,2008,Nigerian Used,250706,5600,Petrol,Automatic,3675000,SUV
Peugeot,2005,Nigerian Used,411415,2000,Petrol,Automatic,2475000,SUV
Toyota,2015,Nigerian Used,110471,2700,Petrol,Manual,10500000,SUV
Lexus,2008,Foreign Used,184977,3500,Petrol,Automatic,4992000,SUV
Toyota,2009,Nigerian Used,94618,3500,Petrol,Automatic,4725000,SUV
Toyota,2004,Foreign Used,204135,2400,Petrol,Automatic,3120000,SUV
Mercedes-Benz,2015,Foreign Used,113110,2000,Petrol,Automatic,14560000,SUV
Dodge,2011,Nigerian Used,260172,3600,Petrol,Automatic,3045000,SUV
Dodge,2006,Nigerian Used,163172,42000,Petrol,Automatic,3150000,SUV
Infiniti,2014,Nigerian Used,60219,3500,Petrol,Automatic,9450000,SUV
Lexus,2008,Nigerian Used,257449,3500,Petrol,Automatic,3570000,SUV
Mercedes-Benz,2012,Foreign Used,228207,3500,Petrol,Automatic,7350000,SUV
Dodge,2011,Foreign Used,163756,2400,Petrol,Automatic,3885000,SUV
Jaguar,2008,Foreign Used,149544,4200,Petrol,Automatic,8400000,SUV
Toyota,2013,Foreign Used,221667,3500,Petrol,Automatic,8840000,SUV
Toyota,2007,Nigerian Used,106027,24,Petrol,Automatic,3432000,SUV
Lexus,2008,Nigerian Used,186456,35,Petrol,Automatic,3570000,SUV
Seat,2012,Nigerian Used,274049,1200,Diesel,Manual,2520000,SUV
Infiniti,2010,Nigerian Used,48902,5600,Petrol,Automatic,4200000,SUV
Mercedes-Benz,2007,Nigerian Used,157093,3274,Petrol,Automatic,4745000,SUV
Ford,2013,Foreign Used,115361,30,Petrol,Automatic,5250000,SUV
Toyota,2007,Foreign Used,96952,3500,Petrol,Automatic,3848000,SUV
Toyota,2010,Foreign Used,85583,2500,Petrol,Automatic,3675000,SUV
Land Rover,2004,Nigerian Used,182533,4400,Petrol,Automatic,2100000,SUV
Toyota,2008,Foreign Used,128369,3500,Petrol,Automatic,3640000,SUV
Toyota,2011,Nigerian Used,364344,2500,Petrol,Automatic,3560000,SUV
Lexus,2008,Nigerian Used,230751,3500,Petrol,Automatic,4472000,SUV
Jeep,2008,Nigerian Used,228941,3000,Petrol,Automatic,1680000,SUV
Toyota,2006,Nigerian Used,253577,3300,Petrol,Automatic,3328000,SUV
Infiniti,2007,Nigerian Used,115506,3274,Petrol,Automatic,3370000,SUV
Toyota,2006,Nigerian Used,97296,3500,Petrol,Automatic,1995000,SUV
Toyota,2011,Nigerian Used,123088,2500,Petrol,Automatic,3224000,SUV
Isuzu,2007,Nigerian Used,73844,3274,Petrol,Manual,2048400,SUV
Lexus,2008,Foreign Used,155665,3500,Petrol,Automatic,3570000,SUV
Toyota,2012,Nigerian Used,119606,2000,Petrol,Automatic,3150000,SUV
Porsche,2007,Nigerian Used,182533,3274,Petrol,Automatic,2810000,SUV
Lexus,2007,Nigerian Used,203830,3500,Petrol,Automatic,4576000,SUV
Toyota,2010,Foreign Used,108433,3274,Petrol,Automatic,5720000,SUV
Ford,2016,Foreign Used,90908,35000,Petrol,Automatic,12600000,SUV
Mercedes-Benz,2007,Nigerian Used,112170,3274,Petrol,Automatic,6730000,SUV
Toyota,2011,Nigerian Used,61436,2000,Petrol,Automatic,5625000,SUV
Dodge,2014,Nigerian Used,69000,3600,Petrol,Automatic,10500000,SUV
Ford,2012,Nigerian Used,160553,3500,Petrol,Automatic,4160000,SUV
Ford,2008,Nigerian Used,218896,3500,Petrol,Automatic,2100000,SUV
Mercedes-Benz,2009,Nigerian Used,350929,3500,Petrol,Automatic,3150000,SUV
Ford,2007,Nigerian Used,171010,3274,Petrol,Automatic,2045000,SUV
Mercedes-Benz,2006,Nigerian Used,182533,3500,Petrol,Automatic,3255000,SUV
Jaguar,2011,Foreign Used,177218,4000,Petrol,Automatic,9450000,SUV
Toyota,2011,Foreign Used,12683,2700,Petrol,Automatic,14175000,SUV
Acura,2009,Nigerian Used,182036,3500,Petrol,Automatic,3120000,SUV
Toyota,2010,Nigerian Used,99830,3300,Petrol,Automatic,3120000,SUV
Lexus,2007,Nigerian Used,123673,3500,Petrol,Automatic,3952000,SUV
Toyota,2009,Foreign Used,459418,3500,Petrol,Automatic,4160000,SUV
Ford,2005,Nigerian Used,301242,5400,Petrol,Automatic,2912000,SUV
Toyota,2011,Foreign Used,177590,3500,Petrol,Automatic,5880000,SUV
Mercedes-Benz,2016,Foreign Used,52855,2000,Petrol,Automatic,15600000,SUV
Ford,2009,Foreign Used,114203,3500,Petrol,Automatic,2835000,SUV
Toyota,2007,Foreign Used,237858,3500,Petrol,Automatic,3640000,SUV
Ford,2007,Nigerian Used,180814,3274,Petrol,Automatic,4266000,SUV
Skoda,2012,Nigerian Used,41077,1600,Petrol,Automatic,3150000,SUV
Mercedes-Benz,2013,Nigerian Used,115724,3500,Petrol,Automatic,5736000,SUV
Ford,2007,Foreign Used,182533,3000,Petrol,Automatic,2625000,SUV
Peugeot,2003,Nigerian Used,3963,1600,Petrol,Automatic,1462500,SUV
Mercedes-Benz,2013,Nigerian Used,125394,4700,Petrol,Automatic,12375000,SUV
Ford,2002,Nigerian Used,247814,4000,Petrol,Automatic,2100000,SUV
Lexus,2011,Nigerian Used,181282,3500,Petrol,Automatic,7280000,SUV
Ford,2016,Nigerian Used,115658,3500,Petrol,Automatic,10500000,SUV
Toyota,2007,Nigerian Used,154309,3274,Petrol,Automatic,5050000,SUV
Toyota,2007,Foreign Used,197253,3300,Petrol,Automatic,3990000,SUV
Mercedes-Benz,2007,Nigerian Used,60180,3274,Petrol,Automatic,7850000,SUV
Land Rover,2007,Nigerian Used,29555,3274,Petrol,Automatic,17930000,SUV
Toyota,2002,Nigerian Used,187433,3000,Petrol,Automatic,2100000,SUV
Dodge,2013,Foreign Used,184192,5700,Petrol,Automatic,11550000,SUV
Toyota,2008,Foreign Used,201641,2400,Petrol,Automatic,3045000,SUV
Land Rover,2007,Nigerian Used,131041,4400,Petrol,Automatic,2625000,SUV
Mercedes-Benz,2006,Nigerian Used,2418,5000,Petrol,Automatic,4935000,SUV
Toyota,2006,Foreign Used,82216,3000,Petrol,Automatic,3224000,SUV
Mercedes-Benz,2007,Nigerian Used,57309,3274,Petrol,Automatic,6730000,SUV
Ford,2004,Foreign Used,398223,4000,Petrol,Automatic,2940000,SUV
Lexus,2010,Nigerian Used,93872,3500,Petrol,Automatic,6775000,SUV
Mercedes-Benz,2007,Nigerian Used,82420,3274,Petrol,Automatic,17930000,SUV
Mercedes-Benz,2007,Nigerian Used,145284,3274,Petrol,Automatic,6730000,SUV
Land Rover,2007,Nigerian Used,139707,3274,Petrol,Automatic,2586000,SUV
Lexus,2008,Nigerian Used,100098,3500,Petrol,Automatic,3675000,SUV
Mercedes-Benz,2007,Nigerian Used,62217,3274,Petrol,Automatic,24650000,SUV
Ford,2007,Nigerian Used,205321,3274,Petrol,Automatic,3282500,SUV
Lexus,2007,Nigerian Used,97925,3274,Petrol,Automatic,2922000,SUV
Lexus,2008,Nigerian Used,310333,3500,Petrol,Automatic,3432000,SUV
Lexus,2007,Nigerian Used,41774,3274,Petrol,Automatic,13450000,SUV
Lexus,2007,Nigerian Used,126224,3274,Petrol,Automatic,2362000,SUV
Toyota,2007,Nigerian Used,170154,3274,Petrol,Automatic,6730000,SUV
Toyota,2019,Foreign Used,5359,1800,Petrol,Automatic,9975000,SUV
Jaguar,2005,Nigerian Used,99187,2700,Diesel,Automatic,3675000,SUV
Dodge,2005,Foreign Used,157972,3300,Petrol,Automatic,2625000,SUV
Dodge,2010,Foreign Used,349934,3300,Petrol,Automatic,3360000,SUV
Lexus,2008,Nigerian Used,9976050,3500,Petrol,Automatic,3255000,SUV
Toyota,2012,Nigerian Used,323406,2500,Petrol,Automatic,3990000,SUV
Toyota,2014,Nigerian Used,30778,2400,Petrol,Automatic,4200000,SUV
Nissan,2007,Nigerian Used,173224,3500,Petrol,Automatic,1518750,SUV
Mercedes-Benz,2012,Nigerian Used,50149,3500,Petrol,Automatic,7800000,SUV
Toyota,2009,Nigerian Used,172537,3500,Petrol,Automatic,4725000,SUV
Mercedes-Benz,2010,Nigerian Used,34365,3500,Petrol,Automatic,7280000,SUV
Mercedes-Benz,2007,Nigerian Used,65126,3274,Petrol,Automatic,4490000,SUV
Ford,2007,Nigerian Used,115975,3500,Petrol,Automatic,2200000,SUV
Jaguar,2007,Nigerian Used,182533,3274,Petrol,Automatic,4500000,SUV
Porsche,2017,Nigerian Used,68343,3600,Petrol,Automatic,18900000,SUV
Toyota,2004,Nigerian Used,158023,4700,Petrol,Automatic,1837500,SUV
Lexus,2015,Foreign Used,98733,2500,Petrol,Automatic,9450000,SUV
Lexus,2004,Nigerian Used,182267,4700,Petrol,Automatic,2625000,SUV
Lexus,2002,Brand New,111408,3000,Petrol,Automatic,2625000,SUV
Hyundai,2011,Foreign Used,139301,2400,Petrol,Automatic,4160000,SUV
Hyundai,2015,Nigerian Used,85847,1600,Petrol,Automatic,5040000,SUV
Toyota,2007,Nigerian Used,209228,2700,Petrol,Manual,4200000,SUV
Toyota,2009,Foreign Used,139042,2400,Petrol,Automatic,3640000,SUV
Toyota,2008,Nigerian Used,141473,2400,Petrol,Automatic,2925000,SUV
Mercedes-Benz,2008,Nigerian Used,263539,3000,Petrol,Automatic,3150000,SUV
Ford,2007,Foreign Used,467397,3500,Petrol,Automatic,2835000,SUV
Lexus,2007,Nigerian Used,242032,3274,Petrol,Automatic,2922000,SUV
Toyota,2009,Nigerian Used,85296,3500,Petrol,Automatic,4830000,SUV
Toyota,2005,Nigerian Used,258088,3300,Petrol,Automatic,2288000,SUV
Mercedes-Benz,2007,Nigerian Used,48780,3274,Petrol,Automatic,19050000,SUV
Toyota,2015,Nigerian Used,70075,3000,Petrol,Automatic,4725000,SUV
Toyota,2015,Foreign Used,71146,1800,Petrol,Automatic,6500000,SUV
Hyundai,2011,Foreign Used,262343,2400,Petrol,Automatic,3675000,SUV
Hyundai,2011,Foreign Used,177739,2400,Petrol,Automatic,4888000,SUV
Mercedes-Benz,2011,Foreign Used,182533,3000,Petrol,Automatic,5460000,SUV
Toyota,2009,Nigerian Used,169241,2400,Petrol,Automatic,3016000,SUV
Lexus,2006,Foreign Used,201926,3000,Petrol,Automatic,4160000,SUV
Mercedes-Benz,2012,Nigerian Used,95610,4700,Petrol,Automatic,4350000,SUV
Toyota,2015,Foreign Used,62298,1800,Petrol,Automatic,6032000,SUV
Lexus,2010,Nigerian Used,163603,3500,Petrol,Automatic,4688000,SUV
Hyundai,2013,Foreign Used,190676,2000,Petrol,Automatic,3517500,SUV
Lexus,2007,Nigerian Used,182533,3600,Petrol,Automatic,4992000,SUV
Toyota,2012,Nigerian Used,370677,2500,Petrol,Automatic,4387500,SUV
Hyundai,2007,Nigerian Used,5843,3274,Petrol,Manual,7895000,SUV
Toyota,2013,Foreign Used,79207,2400,Petrol,Automatic,4960000,SUV
Ford,2012,Nigerian Used,88139,2000,Petrol,Automatic,3675000,SUV
Land Rover,2008,Nigerian Used,78565,4400,Petrol,Automatic,2415000,SUV
Toyota,2009,Foreign Used,167190,1800,Petrol,Automatic,4160000,SUV
Toyota,2016,Foreign Used,218050,1800,Petrol,Automatic,6760000,SUV
Hyundai,2011,Foreign Used,189814,2000,Petrol,Automatic,3255000,SUV
Lexus,2004,Nigerian Used,220223,3300,Petrol,Automatic,2600000,SUV
Lexus,2005,Foreign Used,101051,3300,Petrol,Automatic,2520000,SUV
Ford,2003,Nigerian Used,426254,4000,Petrol,Automatic,2047500,SUV
Toyota,2008,Nigerian Used,307470,2400,Petrol,Automatic,2835000,SUV
Toyota,2007,Nigerian Used,126364,3274,Petrol,Automatic,7850000,SUV
Lexus,2014,Foreign Used,187603,3300,Petrol,Automatic,9240000,SUV
Jeep,2007,Nigerian Used,190057,3274,Petrol,Automatic,3930000,SUV
Hyundai,2011,Foreign Used,115527,2400,Petrol,Automatic,3675000,SUV
Hyundai,2017,Nigerian Used,66012,1600,Petrol,Automatic,6825000,SUV
Mercedes-Benz,2013,Nigerian Used,239707,4500,Petrol,Automatic,18720000,SUV
Ford,2012,Nigerian Used,130722,3500,Petrol,CVT,2835000,SUV
Toyota,2010,Nigerian Used,108350,2400,Petrol,Automatic,3712500,SUV
Ford,2007,Nigerian Used,49215,3274,Petrol,Automatic,3930000,SUV
Hyundai,2007,Nigerian Used,200830,3274,Petrol,Manual,4000000,SUV
Lexus,2010,Foreign Used,279373,3500,Petrol,Automatic,9880000,SUV
Hyundai,2013,Foreign Used,139775,2000,Petrol,Automatic,8112000,SUV
Toyota,2019,Foreign Used,16170,1800,Hybrid,CVT,14175000,SUV
Mercedes-Benz,2007,Nigerian Used,210226,4500,Petrol,Automatic,4249440,SUV
Toyota,2007,Nigerian Used,22914,3274,Petrol,Automatic,10202000,SUV
Mercedes-Benz,2010,Nigerian Used,182533,3500,Petrol,Automatic,6032000,SUV
Mercedes-Benz,2007,Foreign Used,192028,3500,Petrol,Automatic,6448000,SUV
Lexus,2004,Nigerian Used,179555,3400,Petrol,Automatic,3640000,SUV
Toyota,2011,Foreign Used,147685,1800,Petrol,Automatic,4472000,SUV
Hyundai,2012,Nigerian Used,259708,2000,Petrol,Automatic,3640000,SUV
Jeep,2011,Foreign Used,119865,3700,Petrol,Automatic,5775000,SUV
Porsche,2007,Nigerian Used,148559,3274,Petrol,Automatic,2698000,SUV
Hyundai,2018,Foreign Used,159401,2400,Petrol,Automatic,13125000,SUV
Hyundai,2011,Foreign Used,229956,2400,Petrol,Automatic,3360000,SUV
Acura,2005,Foreign Used,288147,3500,Petrol,Automatic,2310000,SUV
Lexus,2004,Nigerian Used,78851,3600,Petrol,Automatic,3848000,SUV
Lexus,2002,Foreign Used,10540,35,Petrol,Automatic,2730000,SUV
Lexus,2003,Nigerian Used,299647,4700,Petrol,Automatic,3675000,SUV
Hyundai,2012,Foreign Used,129479,2000,Petrol,Automatic,4168000,SUV
Lexus,2010,Nigerian Used,108096,5700,Petrol,Automatic,15750000,SUV
Toyota,2011,Foreign Used,95491,1800,Petrol,Automatic,4680000,SUV
Toyota,2010,Foreign Used,185585,1800,Petrol,Automatic,3675000,SUV
Hyundai,2016,Foreign Used,194783,2400,Petrol,Automatic,5250000,SUV
Toyota,2008,Nigerian Used,56479,3500,Petrol,Automatic,5400000,SUV
Mercedes-Benz,2007,Nigerian Used,84716,3274,Petrol,Automatic,5610000,SUV
Toyota,2006,Foreign Used,136201,2500,Petrol,Automatic,2625000,SUV
Lexus,2003,Nigerian Used,252622,3500,Petrol,Automatic,2600000,SUV
Pontiac,2007,Foreign Used,322537,3400,Petrol,Automatic,2205000,SUV
Ford,2008,Foreign Used,298967,5400,Petrol,Automatic,2625000,SUV
Hyundai,2007,Nigerian Used,116158,3274,Petrol,Automatic,4490000,SUV
Fiat,2007,Nigerian Used,319568,3274,Petrol,Automatic,1620000,SUV
Toyota,2017,Foreign Used,101103,1800,Petrol,Automatic,7350000,SUV
Toyota,2012,Foreign Used,78080,2800,Petrol,Automatic,4200000,SUV
Toyota,2006,Nigerian Used,206432,3300,Petrol,Automatic,2860000,SUV
Ford,2007,Nigerian Used,127500,4000,Petrol,Automatic,2205000,SUV
Toyota,2013,Foreign Used,74142,1800,Petrol,Automatic,4095000,SUV
Toyota,2003,Nigerian Used,199651,4000,Petrol,Automatic,2912000,SUV
Toyota,2010,Nigerian Used,87786,2400,Petrol,Automatic,3150000,SUV
Toyota,2004,Nigerian Used,345811,3300,Petrol,Automatic,2496000,SUV
Jeep,2007,Nigerian Used,182533,3274,Petrol,Automatic,5610000,SUV
Lexus,2007,Nigerian Used,182533,3500,Petrol,Automatic,3150000,SUV
Toyota,2009,Foreign Used,207347,1800,Petrol,Automatic,3727500,SUV
Hummer,2005,Nigerian Used,139809,6000,Petrol,Automatic,6300000,SUV
Lexus,2005,Nigerian Used,134607,4500,Petrol,Automatic,2625000,SUV
Hyundai,2016,Nigerian Used,191019,2400,Petrol,Automatic,4725000,SUV
Chevrolet,2000,Foreign Used,319491,2200,Petrol,Manual,3150000,SUV
Toyota,2007,Nigerian Used,102334,2400,Petrol,Automatic,2415000,SUV
MG,2003,Nigerian Used,105744,1800,Diesel,Automatic,1575000,SUV
Toyota,2015,Foreign Used,236022,1800,Petrol,Automatic,6090000,SUV
Hyundai,2015,Foreign Used,172745,2400,Petrol,Automatic,5775000,SUV
Dodge,2012,Nigerian Used,190880,3500,Petrol,Automatic,4725000,SUV
Honda,2010,Nigerian Used,308710,1300,Petrol,Automatic,2940000,SUV
Toyota,2013,Foreign Used,88055,2500,Petrol,Automatic,5720000,SUV
Toyota,2007,Nigerian Used,81254,3500,Petrol,Automatic,2600000,SUV
Toyota,2005,Nigerian Used,98692,2400,Petrol,Automatic,2600000,SUV
Ford,2012,Nigerian Used,226281,3500,Petrol,Automatic,2520000,SUV
Toyota,2007,Nigerian Used,163559,3500,Petrol,Automatic,2520000,SUV
Acura,2008,Nigerian Used,158238,2300,Petrol,Automatic,3432000,SUV
Hyundai,2011,Foreign Used,138548,2400,Petrol,Automatic,3952000,SUV
Hyundai,2014,Foreign Used,112615,2400,Petrol,Automatic,6825000,SUV
Hyundai,2015,Nigerian Used,180020,2400,Petrol,Automatic,5250000,SUV
Toyota,2009,Nigerian Used,124173,2400,Petrol,Automatic,3328000,SUV
Hyundai,2018,Foreign Used,134257,1800,Petrol,Automatic,8400000,SUV
Toyota,2013,Nigerian Used,78485,3500,Petrol,Automatic,4680000,SUV
Lexus,2004,Nigerian Used,254872,3300,Petrol,Automatic,3150000,SUV
Ford,2007,Nigerian Used,206590,3274,Petrol,Automatic,4154000,SUV
Land Rover,2014,Foreign Used,204656,3500,Petrol,Automatic,22050000,SUV
Toyota,2010,Foreign Used,93012,1800,Petrol,Automatic,4680000,SUV
Toyota,2009,Foreign Used,306514,1800,Petrol,Automatic,3570000,SUV
Hyundai,2016,Nigerian Used,77842,2400,Petrol,Automatic,6032000,SUV
Toyota,2012,Nigerian Used,82882,2500,Petrol,Automatic,3570000,SUV
Hyundai,2015,Nigerian Used,71181,1600,Petrol,Automatic,8400000,SUV
Toyota,2007,Nigerian Used,290721,3500,Petrol,Automatic,2782500,SUV
Hyundai,2012,Foreign Used,132315,2400,Petrol,Automatic,3990000,SUV
Lexus,2004,Foreign Used,144353,3300,Petrol,Automatic,2940000,SUV
Dodge,2008,Nigerian Used,2870739,3500,Petrol,Automatic,2100000,SUV
Toyota,2011,Foreign Used,199390,1800,Petrol,Automatic,4368000,SUV
Infiniti,2004,Nigerian Used,101828,4500,Petrol,Automatic,2625000,SUV
Toyota,2004,Nigerian Used,184240,3300,Petrol,Automatic,1890000,SUV
Hyundai,2015,Nigerian Used,86960,3300,Petrol,Automatic,6615000,SUV
Ford,2010,Nigerian Used,280188,3000,Petrol,Automatic,2625000,SUV
Renault,2007,Nigerian Used,82123,3274,Petrol,Automatic,1690000,SUV
Toyota,2007,Nigerian Used,219127,2400,Petrol,Automatic,2600000,SUV
Hyundai,2015,Foreign Used,122448,2400,Petrol,AMT,9450000,SUV
Toyota,2011,Nigerian Used,163716,2400,Petrol,Automatic,2730000,SUV
Toyota,2007,Nigerian Used,188877,2400,Petrol,Automatic,2600000,SUV
Toyota,2009,Foreign Used,92602,1800,Petrol,Automatic,3570000,SUV
Lexus,2005,Nigerian Used,76060,3300,Petrol,Automatic,2600000,SUV
Ford,2010,Foreign Used,463172,3000,Petrol,Automatic,2835000,SUV
Lexus,2007,Nigerian Used,184611,3274,Petrol,Automatic,2922000,SUV
Toyota,2009,Nigerian Used,169361,3600,Petrol,Automatic,2808000,SUV
Ford,2009,Nigerian Used,11096,3500,Petrol,Automatic,2100000,SUV
Toyota,2012,Nigerian Used,143200,2500,Petrol,Automatic,3990000,SUV
Land Rover,2007,Nigerian Used,185503,4200,Petrol,Automatic,2100000,SUV
Toyota,2002,Nigerian Used,196880,5600,Petrol,Automatic,2310000,SUV
Lexus,2004,Nigerian Used,195760,3300,Petrol,Automatic,2496000,SUV
Toyota,2008,Nigerian Used,308809,3500,Petrol,Automatic,2625000,SUV
Toyota,2007,Nigerian Used,91854,2400,Petrol,Automatic,2205000,SUV
Lexus,2006,Nigerian Used,310182,3000,Petrol,Automatic,2310000,SUV
Toyota,2008,Nigerian Used,211165,3500,Petrol,Automatic,2625000,SUV
Lexus,2007,Nigerian Used,228749,2500,Petrol,Automatic,2782500,SUV
Lexus,2007,Nigerian Used,112762,3274,Petrol,Automatic,1914000,SUV
Toyota,2004,Nigerian Used,138325,4700,Petrol,Automatic,2912000,SUV
Lexus,2005,Nigerian Used,152784,2500,Petrol,Automatic,2782500,SUV
Acura,2009,Nigerian Used,10351,35,Petrol,Automatic,3640000,SUV
Lexus,2004,Nigerian Used,106126,3300,Petrol,Automatic,2288000,SUV
Mercedes-Benz,2007,Foreign Used,305375,3500,Petrol,Automatic,3675000,SUV
Acura,2007,Nigerian Used,354807,3700,Petrol,Automatic,2572500,SUV
Toyota,2009,Nigerian Used,256020,2400,Petrol,Automatic,2600000,SUV
Ford,2010,Nigerian Used,83505,1600,Petrol,Automatic,1912500,SUV
Toyota,2011,Nigerian Used,145611,3500,Petrol,Automatic,2520000,SUV
Lexus,2002,Foreign Used,194524,3300,Petrol,Automatic,2520000,SUV
Hyundai,2012,Foreign Used,180555,1800,Petrol,Automatic,3990000,SUV
Nissan,2008,Foreign Used,113279,3500,Petrol,Automatic,3675000,SUV
Lexus,2007,Foreign Used,259837,3500,Petrol,Automatic,4732000,SUV
Renault,2007,Nigerian Used,29955,3274,Petrol,Automatic,1707500,SUV
Hyundai,2007,Nigerian Used,126473,3274,Petrol,Automatic,6730000,SUV
Lexus,2002,Nigerian Used,125060,3000,Petrol,Automatic,2496000,SUV
Toyota,2004,Nigerian Used,258147,3300,Petrol,Automatic,2496000,SUV
Toyota,2007,Nigerian Used,182533,2400,Petrol,Automatic,2100000,SUV
Toyota,2012,Nigerian Used,34224,3500,Petrol,Automatic,4410000,SUV
Toyota,2009,Nigerian Used,136477,1800,Petrol,Automatic,3692000,SUV
Toyota,2011,Nigerian Used,57764,1800,Petrol,Automatic,4680000,SUV
Toyota,2005,Nigerian Used,436987,1600,Petrol,Automatic,2137500,SUV
Toyota,2008,Foreign Used,166063,2400,Petrol,Automatic,3952000,SUV
Acura,2008,Nigerian Used,186539,3700,Petrol,Automatic,2940000,SUV
Toyota,2009,Nigerian Used,240394,1800,Petrol,Automatic,3432000,SUV
Ford,2007,Nigerian Used,168131,3274,Petrol,Automatic,1690000,SUV
Mercedes-Benz,2013,Nigerian Used,82908,3500,Petrol,Automatic,4680000,SUV
Toyota,2009,Nigerian Used,120332,2400,Petrol,Automatic,2600000,SUV
Mercedes-Benz,2006,Foreign Used,242654,5000,Petrol,Automatic,4725000,SUV
Pontiac,2009,Foreign Used,246153,1800,Petrol,Automatic,3360000,SUV
Chrysler,2013,Foreign Used,182823,24,Petrol,Automatic,4200000,SUV
Lexus,2009,Nigerian Used,1530065,3500,Petrol,Automatic,4784000,SUV
Toyota,2012,Foreign Used,89735,1800,Petrol,Automatic,5200000,SUV
Infiniti,2006,Nigerian Used,169239,5600,Petrol,Automatic,1675000,SUV
Ford,2013,Nigerian Used,99988,3500,Petrol,Automatic,2625000,SUV
Toyota,2006,Nigerian Used,341149,3500,Petrol,Automatic,2625000,SUV
Toyota,2004,Nigerian Used,96072,4000,Petrol,Automatic,1837500,SUV
Ford,2013,Foreign Used,150025,2000,Petrol,Automatic,3990000,SUV
Toyota,2007,Foreign Used,184835,2400,Petrol,Automatic,3952000,SUV
Hyundai,2013,Nigerian Used,102268,1800,Petrol,Automatic,3120000,SUV
Acura,2006,Nigerian Used,114031,3500,Petrol,Automatic,1768000,SUV
Toyota,2013,Nigerian Used,50411,1800,Petrol,Automatic,3150000,SUV
Toyota,2007,Foreign Used,258598,1800,Petrol,Automatic,3328000,SUV
Hyundai,2013,Nigerian Used,85345,2400,Petrol,Automatic,4042500,SUV
Hyundai,2012,Nigerian Used,58248,2000,Petrol,Automatic,3125000,SUV
Hyundai,2011,Foreign Used,102194,1800,Petrol,Automatic,3465000,SUV
Acura,2009,Nigerian Used,429408,3700,Petrol,Automatic,2625000,SUV
Lexus,2002,Foreign Used,427071,3000,Petrol,Automatic,2887500,SUV
Toyota,2015,Foreign Used,62148,1800,Petrol,Automatic,5775000,SUV
Lexus,2008,Nigerian Used,132323,3500,Petrol,Automatic,2625000,SUV
Toyota,2009,Nigerian Used,196918,2400,Petrol,Automatic,3328000,SUV
Toyota,2007,Nigerian Used,203882,3300,Petrol,Automatic,2500000,SUV
